English,German,French
block,Block,bloquer
chart,Diagramm,graphique
hat,Hut,chapeau
sell,verkaufen,vendre
success,Erfolg,Succès
company,Unternehmen,entreprise
subtract,subtrahieren,soustraire
event,Veranstaltung,un événement
particular,besonders,particulier
deal,Deal,traiter
swim,schwimmen,nager
term,Begriff,terme
opposite,Gegenteil,contraire
wife,Ehefrau,épouse
shoe,Schuh,chaussure
shoulder,Schulter,épaule
spread,Verbreitung,propager
arrange,ordnen,organiser
camp,Lager,camp
invent,erfinden,inventer
cotton,Baumwolle,coton
born,geboren,née
determine,bestimmen,déterminer
quart,Quart,litre
nine,neun,neuf
truck,LKW,un camion
noise,Lärm,bruit
level,Niveau,niveau
chance,Chance,chance
gather,versammeln,recueillir
shop,Geschäft,magasin
stretch,strecken,étendue
throw,werfen,jeter
shine,scheinen,éclat
property,Eigentum,propriété
column,Säule,colonne
molecule,Molekül,molécule
select,wählen,sélectionner
wrong,falsch,faux
gray,grau,gris
repeat,wiederholen,répéter
require,benötigen,exiger
broad,breit,vaste
prepare,bereiten,préparer
salt,Salz-,sel
nose,Nase,nez
plural,Plural-,pluriel
anger,Zorn,colère
claim,Anspruch,prétendre
continent,Kontinent,continent